,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.432,5
8,0.5,5
9,0.386,5
10,0.296,5
11,0.647,5
12,0.414,10
13,0.523,10
14,0.5,10
15,0.344,10
16,0.444,10
17,0.5,10
18,0.241,10
19,0.448,10
20,0.5,10
21,0.778,10
22,0.333,15
23,0.533,15
24,0.533,15
25,0.643,15
26,0.375,15
27,0.4,15
28,0.353,15
29,0.423,15
30,0.5,15
31,0.8,15
32,0.321,15
33,0.333,15
34,0.6,15
35,0.571,15
36,0.7,15
37,0.25,20
38,0.391,20
39,0.333,20
40,0.526,20
41,0.444,20
42,0.538,20
43,0.286,20
44,0.611,20
45,0.5,20
46,0.8,20
47,0.429,20
48,0.429,20
49,0.571,20
50,0.556,20
51,0.75,20
52,0.8,20
53,0.692,20
54,0.5,20
55,0.429,20
56,0.444,20
57,0.333,25
58,0.625,25
59,0.333,25
60,0.667,25
61,0.5,25
62,0.474,25
63,0.267,25
64,0.615,25
65,0.562,25
66,0.5,25
67,0.583,25
68,0.8,25
69,0.5,25
70,0.667,25
71,0.429,25
72,0.375,25
73,0.667,25
74,0.667,25
75,0.5,25
76,0.625,25
77,0.625,25
78,0.75,25
79,0.625,25
80,0.375,25
81,0.4,25
82,0.333,30
83,0.625,30
84,0.3,30
85,0.667,30
86,0.5,30
87,0.412,30
88,0.308,30
89,0.615,30
90,0.533,30
91,0.5,30
92,1.0,30
93,0.8,30
94,0.5,30
95,0.667,30
96,0.6,30
97,0.375,30
98,0.667,30
99,0.75,30
100,0.5,30
101,0.625,30
102,0.833,30
103,0.75,30
104,0.625,30
105,0.4,30
106,0.4,30
107,0.417,30
108,0.5,30
109,0.5,30
110,0.667,30
111,0.5,30
